Name,F,Fmin,Fmax,MJD,MJDmin,MJDmax,Coverage,Resolution,Scale,Sensitivity
 DSS2B,6.4e14,5.2e14,9.7e14,40128,31636,48072,1,3,1,9e-6
 DSS2IR,3.5e14,3.26e14,4.22e14,49716,46976,52455,0.75,3,1,3.5e-5
 DSS2R,4.452e14,4.22e14,5.66e14,48710,45881,51539,1,3,1,4.3e-6
 EBHIS,1.420e9,1.4175e9,1.42359e9,55626,54856,56397,0.64,648,90,.005
 EGRETHard,72e21,24e21,2400e21,49300,48358,49987,1,7200,1800,1e-10
 EGRETSoft,15e21,7.2e21,24e21,49300,48358,49987,1,18000,1800,4e-10
 EGRET3D,1.2e23,7.2e21,2.4e24,49300,48358,49987,1,7200,1800,1e-10
 euve171,17.3e15,8.1e15,17.6e15,48910,48818,49002,1,180,90,0.0001
 euve405,7.4e15,5.0e15,7.9e15,48910,48818,49002,1,180,90,0.0001
 euve555,5.4e15,3.75e15,6e15,48910,48818,49002,1,180,90,0.0001
 euve83,36e15,15e15,43e15,48910,48818,49002,1,180,90,0.0001
 Fermi 1,12e21,7e21,24e21,55976,54678,57274,1,10800,360,5.e-12
 Fermi 2,40e21,24e21,70e21,55976,54678,57274,1,7200,360,2.5e-12
 Fermi 3,150e21,70e21,240e21,55976,54678,57274,1,3600,360,2.5e-13
 Fermi 4,400e21,240e21,700e21,55976,54678,57274,1,1440,360,2.5e-14
 Fermi 5,1400e21,700e21,70000e21,55976,54678,57274,1,720,360,6e-15
 FIRST,1.4e9,1.3635e9,1.4365e9,51131,49122,59512,0.25,5,1.8,0.001
 GalexFar,1.96e15,1.68e15,2.23e15,53870,52774,54966,0.675,4.3,1.5,1.e-6
 GalexNear,1.32e15,1.05e15,1.69e15,54600,52774,56427,0.675,5.3,1.5,3.e-6
 GOODSACISFB,480e15,121e15,1900e15,53535,51495,55399,0.00001,1,0.5,5e-11
 GOODSACISHB,960e15,480e15,1900e15,53535,51495,55399,0.00001,1,0.5,8e-11
 GOODSACISSB,240e15,121e15,480e15,53535,51495,55399,0.00001,1,0.5,2e-11
 GOODS ACS B,6.93e14,6.70e14,7.17e14,52967,52459,53474,0.00001,0.1,0.03,14.3e-9
       GOODS ACS I,3.90e14,3.79e14,4.01e14,52967,52459,53474,0.00001,0.1,0.03,5.6e-9
       GOODS ACS V,5.06e14,4.79e14,5.37e14,52967,52459,53474,0.00001,0.1,0.03,7.1e-9
       GOODS ACS Z,3.32e14,3.22e14,3.42e14,52967,52459,53474,0.00001,0.1,0.03,7.1e-9
       GOODSHerschel1,3.e12,2.5e12,3.5e12,52967,55115,55439,1.5e-6,6.7,1.2,.001
 GOODSHerschel2,1.9e12,1.6e12,2.2e12,52967,55115,55439,1.5e-6,11.0,2.4,.0025
 GOODSHerschel3,1.2e12,1e12,1.4e12,52967,55115,55439,1e-6,18.1,3.6,.0057
 GOODSHerschel4,860e9,740e9,1.e12,52967,55115,55439,1.e-6,24.9,4.8,.0072
 GOODSHerschel5,6.0e11,5.1e11,7.0e11,52967,55115,55439,1.5e-6,36.6,7.2,.009
 GOODSIRAC 1,8.33e12,7.58e12,9.43e12,53087,53043,53151,0.0001,1.7,0.5,1.36e-7
 GOODSIRAC 2,6.66e12,5.98e12,7.59e12,53087,53043,53151,0.0001,1.7,0.5,2.36e-7
 GOODSIRAC 3,5.17e12,4.65e12,5.98e12,53087,53043,53151,0.0001,1.7,0.5,14.9e-7
 GOODSIRAC 4,3.75e12,3.21e12,4.65e12,53087,53043,53151,0.0001,1.7,0.5,16.3e-7
 GOODS ISAAC H,183e12,168e12,202e12,52791,51466,54115,0.000001,0.5,0.15,2.0e-7
 GOODS ISAAC J,245e12,225e12,270e12,52791,51466,54115,0.000001,0.5,0.15,1.7e-7
 GOODS ISAAC KS,137e12,125e12,150e12,52791,51466,54115,0.000001,0.5,0.15,1.4e-7
 GOODSMIPS,12.5e12,10.2e12,14.7e12,53183,53043,53324,0.0001,5,1.2,.0001
 GOODSNICMOS,187e12,164e12,214e12,54364,54145,54383,0.0000003,0.3,0.1,2.6e-8
 GOODSNVLA,1.4e9,1.365e9,1.435e9,52296,50402,53719,0.0001,1.7,0.5,20e-6
 GOODS VIMOS R,455e12,412e12,509e12,53632,53228,54035,3.e-6,0.75,0.2,15.e-9
 GOODS VIMOS U,821e12,753e12,903e12,53632,53228,54035,3.e-6,0.75,0.2,3.7e-9
 GRANAT_SIGMA_Flux,16e18,10e18,24e18,46611,45515,47707,0.25,1200,194.4,4.e-9
 GRANAT_SIGMA_Sig,16e18,10e18,24e18,46611,45515,47707,0.25,1200,194.4,4.e-9
 0035MHz,34.5e6,34.3e6,34.7e6,46811,46796,46826,0.85,2520,720,5
 HAlpha,456.79e12,456.2e12,457.38e12,51542,50629,52455,1,360,150,0.005
 Hawaii HDF B,677e12,632e12,728e12,51968,51961,52358,5.e-6,0.8,0.3,6.4e-8
 Hawaii HDF I,375e12,358e12,395e12,51968,51961,52358,5.e-6,0.8,0.3,21.e-8
 Hawaii HDF R,458e12,436e12,484e12,51968,51961,52358,5.e-6,0.8,0.3,8.6e-8
 Hawaii HDF U,822e12,780e12,868e12,51968,51961,52358,5.e-6,0.8,0.3,5.4e-8
 Hawaii HDF V0201,547e12,520e12,577e12,51968,51961,52358,5.e-6,0.8,0.3,7.1e-8
